# time,lat,lon,altMSC,status
,33.23085,-79.067177833,,
2023-06-07T14:42:07.000Z,33.23085,-79.067177833,,
2023-06-07T14:42:07.000Z,33.2308546,-79.0671742,,
2023-06-07T14:42:09.000Z,33.2308548,-79.0671677,,
2023-06-07T14:42:10.000Z,33.2308538,-79.0671634,,
2023-06-07T14:42:11.000Z,33.2308535,-79.0671605,,
2023-06-07T14:42:12.000Z,33.2308556,-79.0671581,,
2023-06-07T14:42:13.000Z,33.2308568,-79.0671556,,
2023-06-07T14:42:14.000Z,33.2308517,-79.0671529,,
2023-06-07T14:42:15.000Z,33.23085,-79.0671486,,
2023-06-07T14:42:16.000Z,33.2308503,-79.0671444,,
2023-06-07T14:42:17.000Z,33.2308519,-79.0671403,,
2023-06-07T14:42:18.000Z,33.2308542,-79.0671374,,
2023-06-07T14:42:19.000Z,33.2308558,-79.0671358,,
2023-06-07T14:42:20.000Z,33.2308568,-79.0671327,,
2023-06-07T14:42:21.000Z,33.2308577,-79.0671292,,
2023-06-07T14:42:22.000Z,33.2308584,-79.0671252,,
2023-06-07T14:42:23.000Z,33.2308593,-79.0671209,,
2023-06-07T14:42:24.000Z,33.2308599,-79.0671175,,
2023-06-07T14:42:25.000Z,33.2308609,-79.0671152,,
2023-06-07T14:42:26.000Z,33.2308624,-79.0671127,,
2023-06-07T14:42:27.000Z,33.2308631,-79.0671086,,
2023-06-07T14:42:28.000Z,33.2308643,-79.0671041,,
2023-06-07T14:42:29.000Z,33.2308654,-79.0670994,,
2023-06-07T14:42:30.000Z,33.2308659,-79.067096,,
2023-06-07T14:42:31.000Z,33.2308663,-79.0670912,,
2023-06-07T14:42:32.000Z,33.2308659,-79.0670869,,
2023-06-07T14:42:33.000Z,33.2308661,-79.0670824,,
2023-06-07T14:42:34.000Z,33.2308677,-79.0670794,,
2023-06-07T14:42:35.000Z,33.2308684,-79.0670764,,
2023-06-07T14:42:36.000Z,33.2308689,-79.0670736,,
2023-06-07T14:42:37.000Z,33.2308694,-79.0670713,,
2023-06-07T14:42:38.000Z,33.2308697,-79.067068,,
