% time,lat,lon,altMSL,mode,status
2024-05-24T13:11:36.000Z,33.3098968,-78.9118147,2.245,3,2
2024-05-24T13:11:37.000Z,33.309898,-78.9118146,2.392,3,2
2024-05-24T13:11:38.000Z,33.3098998,-78.9118152,2.479,3,2
2024-05-24T13:11:39.000Z,33.3099001,-78.9118138,2.309,3,2
2024-05-24T13:11:40.000Z,33.3098981,-78.9118119,2.061,3,2
2024-05-24T13:11:41.000Z,33.3098988,-78.9118113,2.318,3,2
2024-05-24T13:11:42.000Z,33.3099,-78.9118128,2.519,3,2
2024-05-24T13:11:43.000Z,33.3098992,-78.9118149,2.637,3,2
2024-05-24T13:11:44.000Z,33.3098988,-78.9118164,2.546,3,2
2024-05-24T13:11:45.000Z,33.3098991,-78.9118167,2.407,3,2
2024-05-24T13:11:46.000Z,33.3099021,-78.9118169,2.506,3,2
2024-05-24T13:11:47.000Z,33.3099021,-78.9118163,1.8,3,2
2024-05-24T13:11:48.000Z,33.3099011,-78.9118159,1.746,3,2
2024-05-24T13:11:49.000Z,33.3099024,-78.9118149,1.91,3,2
2024-05-24T13:11:50.000Z,33.3099025,-78.9118154,1.927,3,2
2024-05-24T13:11:51.000Z,33.3099006,-78.9118151,1.679,3,2
2024-05-24T13:11:52.000Z,33.3099012,-78.9118136,1.791,3,2
2024-05-24T13:11:53.000Z,33.3099002,-78.9118111,1.681,3,2
2024-05-24T13:11:54.000Z,33.3099001,-78.9118113,2.016,3,2
2024-05-24T13:11:55.000Z,33.3099015,-78.911814,1.945,3,2
2024-05-24T13:11:56.000Z,33.3099029,-78.9118151,1.602,3,2
2024-05-24T13:11:57.000Z,33.3099019,-78.911814,1.142,3,2
2024-05-24T13:11:58.000Z,33.3098994,-78.9118124,1.26,3,2
2024-05-24T13:11:59.000Z,33.3099003,-78.9118134,1.336,3,2
2024-05-24T13:12:00.000Z,33.3099007,-78.9118145,1.441,3,2
2024-05-24T13:12:01.000Z,33.3098986,-78.9118138,1.541,3,2
2024-05-24T13:12:02.000Z,33.3098991,-78.9118133,1.446,3,2
2024-05-24T13:12:03.000Z,33.3098996,-78.9118136,1.434,3,2
2024-05-24T13:12:04.000Z,33.3099011,-78.9118152,1.849,3,2
2024-05-24T13:12:05.000Z,33.3099012,-78.9118154,1.683,3,2
2024-05-24T13:12:06.000Z,33.3099006,-78.9118139,1.664,3,2
2024-05-24T13:12:07.000Z,33.3098997,-78.9118125,1.598,3,2
2024-05-24T13:12:08.000Z,33.3098981,-78.9118125,1.771,3,2
2024-05-24T13:12:09.000Z,33.3098997,-78.9118142,1.979,3,2
2024-05-24T13:12:10.000Z,33.3098997,-78.9118141,1.989,3,2
2024-05-24T13:12:11.000Z,33.3098996,-78.9118155,1.764,3,2
2024-05-24T13:12:12.000Z,33.3099004,-78.9118144,1.939,3,2
2024-05-24T13:12:13.000Z,33.3099018,-78.9118125,1.791,3,2
2024-05-24T13:12:14.001Z,33.309902,-78.9118124,1.536,3,2
2024-05-24T13:12:15.000Z,33.3099008,-78.911812,1.652,3,2
2024-05-24T13:12:16.000Z,33.3099017,-78.91181,1.848,3,2
2024-05-24T13:12:17.000Z,33.3099015,-78.9118099,1.615,3,2
2024-05-24T13:12:18.000Z,33.3099011,-78.9118116,1.855,3,2
2024-05-24T13:12:19.000Z,33.3099038,-78.911812,2.062,3,2
2024-05-24T13:12:20.000Z,33.3099043,-78.9118117,2.04,3,2
2024-05-24T13:12:21.000Z,33.3099043,-78.9118127,1.606,3,2
2024-05-24T13:12:22.000Z,33.3099037,-78.9118125,1.87,3,2
2024-05-24T13:12:23.000Z,33.309905,-78.9118103,2.02,3,2
2024-05-24T13:12:24.000Z,33.309905,-78.911808,1.895,3,2
2024-05-24T13:12:25.000Z,33.3099025,-78.9118078,1.983,3,2
2024-05-24T13:12:26.000Z,33.3099021,-78.9118091,2.184,3,2
2024-05-24T13:12:27.000Z,33.309902,-78.9118125,2.081,3,2
2024-05-24T13:12:28.000Z,33.3099027,-78.9118135,1.986,3,2
2024-05-24T13:12:29.000Z,33.3099019,-78.9118117,1.577,3,2
2024-05-24T13:12:30.000Z,33.3099017,-78.9118084,1.44,3,2
2024-05-24T13:12:31.000Z,33.3099013,-78.9118078,1.369,3,2
2024-05-24T13:12:32.000Z,33.3099029,-78.9118086,1.587,3,2
2024-05-24T13:12:33.000Z,33.3099049,-78.9118089,1.598,3,2
2024-05-24T13:12:34.000Z,33.3099047,-78.9118103,1.73,3,2
2024-05-24T13:12:35.000Z,33.3099037,-78.9118115,1.916,3,2
2024-05-24T13:12:36.000Z,33.3099056,-78.911812,2.078,3,2
2024-05-24T13:12:37.000Z,33.3099058,-78.9118113,1.657,3,2
2024-05-24T13:12:38.000Z,33.3099053,-78.9118101,1.965,3,2
2024-05-24T13:12:39.000Z,33.3099053,-78.9118116,1.556,3,2
2024-05-24T13:12:40.000Z,33.3099056,-78.9118107,1.617,3,2
2024-05-24T13:12:41.000Z,33.3099053,-78.9118082,1.214,3,2
2024-05-24T13:12:42.000Z,33.3099034,-78.9118063,1.286,3,2
2024-05-24T13:12:43.000Z,33.3099031,-78.9118072,1.354,3,2
2024-05-24T13:12:44.000Z,33.3099029,-78.9118104,1.445,3,2
2024-05-24T13:12:45.000Z,33.3099041,-78.9118135,1.697,3,2
2024-05-24T13:12:46.000Z,33.3099059,-78.9118149,1.271,3,2
2024-05-24T13:12:47.000Z,33.3099042,-78.9118152,1.09,3,2
2024-05-24T13:12:48.000Z,33.3099036,-78.9118124,1.292,3,2
2024-05-24T13:12:49.000Z,33.3099036,-78.9118096,1.312,3,2
2024-05-24T13:12:50.000Z,33.3099027,-78.9118088,1.407,3,2
2024-05-24T13:12:51.000Z,33.3099037,-78.9118104,1.657,3,2
2024-05-24T13:12:52.000Z,33.3099043,-78.9118118,1.558,3,2
2024-05-24T13:12:53.000Z,33.3099044,-78.9118131,1.621,3,2
2024-05-24T13:12:54.000Z,33.3099054,-78.9118142,1.672,3,2
2024-05-24T13:12:55.000Z,33.3099051,-78.9118146,1.611,3,2
2024-05-24T13:12:56.000Z,33.3099064,-78.9118134,1.444,3,2
2024-05-24T13:12:57.000Z,33.3099053,-78.9118121,1.305,3,2
2024-05-24T13:12:58.000Z,33.3099058,-78.9118115,1.542,3,2
2024-05-24T13:12:59.000Z,33.3099081,-78.9118116,1.613,3,2
2024-05-24T13:13:00.000Z,33.309908,-78.9118138,1.272,3,2
2024-05-24T13:13:01.000Z,33.3099073,-78.9118126,1.588,3,2
2024-05-24T13:13:02.000Z,33.3099066,-78.9118114,1.57,3,2
2024-05-24T13:13:03.000Z,33.3099074,-78.9118107,1.879,3,2
2024-05-24T13:13:04.000Z,33.3099076,-78.9118119,1.583,3,2
2024-05-24T13:13:05.000Z,33.3099059,-78.9118124,1.7,3,2
2024-05-24T13:13:06.000Z,33.309907,-78.9118117,2.054,3,2
2024-05-24T13:13:07.000Z,33.3099078,-78.9118111,1.928,3,2
2024-05-24T13:13:08.000Z,33.3099076,-78.9118117,2.231,3,2
2024-05-24T13:13:09.000Z,33.3099101,-78.911811,2.018,3,2
2024-05-24T13:13:10.000Z,33.3099085,-78.9118117,2.087,3,2
2024-05-24T13:13:11.000Z,33.309908,-78.9118128,1.936,3,2
2024-05-24T13:13:12.000Z,33.3099085,-78.9118125,1.85,3,2
2024-05-24T13:13:13.000Z,33.3099064,-78.911812,1.746,3,2
